in Government Dated Securities and Treasury Bills
          Contract Date : August 13, 2001
       (DD/MM/YYYY)
   (iv) 364 Day Bills (Maturity-wise)
     Total                          1.62
        08/11/2001                  1.62           98.3774         6.9008
          Contract Date : August 13, 2001
       (DD/MM/YYYY)
   (iii) 182 Day Bills (Maturity-wise)
     Total                         40.25
        17/08/2001                  3.00           99.9437         6.8349
          Contract Date : August 14, 2001
        09/11/2001                 35.00           98.3637         6.8809
        17/08/2001                  2.25           99.9343         5.9826
          Contract Date : August 13, 2001
       (DD/MM/YYYY)
   (ii) 91 Day Bills (Maturity-wise)
                                           NIL
       (DD/MM/YYYY)
   (i) 14 Day Bills (Maturity-wise)
C. Treasury Bills
     Total                         22.91
       GOVT. STOCK 20011            9.00          100.00          9.5300
 01254 9.53% ANDHRA PRADESH
       STOCK 2011                   5.00          100.66          9.6150
 01256 9.72% WEST BENGAL GOVT.
       GOVT. STOCK 20011            5.00          100.06          9.5198
 01254 9.53% ANDHRA PRADESH
       2010                         0.47          114.83          9.5257
 00254 12.00% MAHARASHTRA SDL
 00248 12.00% GUJARAT SDL 2010      0.44          114.83          9.5257
 00240 11.70% TAMILNADU SDL 2010    2.00          112.78          9.5491
          Contract Date : August 14, 2001
       GOVT.STOCK,2009              1.00          100.33          9.3398
 01253 9.40 % GUJARAT
          Contract Date : August 13, 2001
B. State Government Securities
     Total                       2743.086
 01006  10.25 %  2021               5.00          102.28           9.9802
 01006  10.25 %  2021               5.00          102.25           9.9836
 01006  10.25 %  2021               5.00          102.19           9.9905
 01006  10.25 %  2021               5.00          102.07          10.0043
 00018  11.60 %  2020              10.00          113.00          10.059310
 01007   9.39 %  2011               5.00      101.00        7.05       2
 01007   9.39 %  2011               5.00      101.00        7.05       2
 01007   9.39 %  2011               5.00      101.00        7.05       2
 01007   9.39 %  2011               5.00      101.00        7.12       2
 01007   9.39 %  2011               5.00      101.00        7.12       2
 01007   9.39 %  2011               5.00      101.00        7.12       2
 01007   9.39 %  2011               5.00      101.00        7.12       2
 01007   9.39 %  2011               5.00      101.00        7.12       2
 01007   9.39 %  2011               5.00      100.90        7.35       2
 01007   9.39 %  2011               5.00      101.00        7.12       2
 01007   9.39 %  2011               5.00      101.00        7.12       2
 01007   9.39 %  2011               5.00      101.00        7.12       2
 01007   9.39 %  2011               5.00      101.00        7.05       2
 01007   9.39 %  2011               5.00      101.00        7.05       2
 01007   9.39 %  2011               5.00      101.00        7.05       2
 01007   9.39 %  2011               5.00      101.00        7.05       2
 00014  11.30 %  2010               5.00      113.00        7.30       2
 00016  11.40 %  2008               5.00      115.25        9.50       6
 00007   9.90 %  2005              68.00      107.10        7.10       6
 94003  12.50 %  2004               5.00      111.75        7.30       2
 97011  11.15 %  2002              18.50      103.90        6.75       2
 97011  11.15 %  2002              18.50      103.90        6.75       2
 97011  11.15 %  2002              20.00      103.90        7.20       2
 97011  11.15 %  2002              20.00      103.90        7.20       2
 97011  11.15 %  2002              20.00      103.93        7.10       2
